ID	Y	Mean	stdev	rep_1	rep_2	rep_3	rep_4	rep_5	rep_6	rep_7	rep_8	rep_9	rep_10	rep_11	rep_12	rep_13	rep_14	rep_15	rep_16	rep_17	rep_18	rep_19	rep_20	rep_21	rep_22	rep_23	rep_24	rep_25	rep_26	rep_27	rep_28	rep_29	rep_30	rep_31	rep_32	rep_33	rep_34	rep_35	rep_36	rep_37	rep_38	rep_39	rep_40	rep_41	rep_42	rep_43	rep_44	rep_45	rep_46	rep_47	rep_48	rep_49	rep_50	rep_51	rep_52	rep_53	rep_54	rep_55	rep_56	rep_57	rep_58	rep_59	rep_60	rep_61	rep_62	rep_63	rep_64	rep_65	rep_66	rep_67	rep_68	rep_69	rep_70	rep_71	rep_72	rep_73	rep_74	rep_75	rep_76	rep_77	rep_78	rep_79	rep_80	rep_81	rep_82	rep_83	rep_84	rep_85	rep_86	rep_87	rep_88	rep_89	rep_90	rep_91	rep_92	rep_93	rep_94	rep_95	rep_96	rep_97	rep_98	rep_99	rep_100
EL19_5166	15758.25	12766.138353193819	70.52065322085478	12618.539247972347	12825.79941336804	12707.252666209171	12765.141861393997	12781.387874879545	12910.374015069776	12711.374090757412	12803.418205949522	12759.913931226483	12773.009141649496	12788.499302702014	12653.004512260299	12765.177422741832	12714.835582962978	12846.567171801522	12749.64181546893	12802.374303378194	12776.28495865786	12704.444796688225	12684.786914766888	12848.198558936176	12767.970378191843	12604.133796245747	12759.73193505019	12728.8081139628	12690.957682836535	12680.258309133213	12867.19929485611	12755.119280537336	12717.774851321792	12779.56228969074	12841.464214522874	12845.236507891856	12763.466720858665	12724.782787874077	12799.355742656378	12804.126439456031	12757.728645456411	12710.83657214145	12674.331382885748	12686.541184335974	12809.094904306723	12707.270508350466	12747.985990089172	12708.197763395505	12684.477915475229	12680.497301333113	12792.63208739775	12760.118599458247	12678.38746615846	12806.090425874898	12755.620141896958	12881.804026051668	12788.440293413254	12735.00715381111	12635.638330665484	12681.91507952914	12786.36826424802	12944.92314314632	12687.723412484376	12767.267627473238	12665.44438398965	12797.521486291227	12966.015984439126	12861.686953886745	12791.987573670523	12849.492673790113	12768.232979615423	12679.921978195016	12791.288602782784	12680.415505330144	12786.600938278352	12711.8458353356	12814.83297447118	12824.588658901472	12856.445793152421	12804.38912400161	12854.192366251844	12855.932916692582	12802.52859676343	12763.982712781191	12759.561922012503	12762.266325516146	12811.585677487647	12736.198978073458	12745.688738569375	12721.034223712471	12822.647014003203	12794.154717492293	12857.060299222274	12716.92162947563	12631.25558416018	12905.873350278538	12766.357693905653	12833.587714563231	12731.868422591744	12828.94515449842	12841.467195827943	12738.00964680707	12693.130639257959
EL19_6459	15053.58	12884.75846216465	67.97197944235509	12813.698052822205	12921.247262926603	12929.368840825722	12881.487019142705	12845.391879287507	12972.71745257496	12826.682885081858	12903.519403857405	12856.460852933173	12989.76286309835	12770.979532491658	12948.522041511096	12897.589954241983	12989.800957601354	12857.219556679585	12776.393762368716	12935.81628488228	12826.847738458562	12844.225675199044	12865.621941822517	12842.261213954747	12905.782600828767	12748.040163296206	12940.760371998209	12959.51941033075	12929.487881033336	12833.932443447666	12939.978235346225	12889.666927442693	12901.898873696131	12826.845527497193	12984.373773187688	12942.6750182962	12907.771574553404	12943.399885034542	12829.908386050594	12901.234640323144	12939.576393339854	12796.375749704765	12726.017231655514	12890.0489461555	12940.361961720406	12780.617165239764	12910.804685436553	12767.012527236906	12870.991733313134	12884.604531393941	12847.992353720156	12938.135926172159	12907.834555192685	12878.840673689638	12907.338600131561	12884.88124574967	12843.930115074974	12926.937891738155	12884.448286749819	12838.103785712765	12856.525466512623	12915.180123882972	12682.054940913617	12878.103621228965	12944.388683897723	12935.775258062204	12999.894919816243	12964.575321219514	12909.68664401342	12855.796722073292	12935.934189878462	12928.624008543296	12880.64006387079	12994.265211795686	12887.420158664063	12936.643690985138	12819.683989156363	12929.109843148939	12890.247006519543	12930.467213787415	12925.01119635836	12814.702379076363	12927.849425614051	12896.63241709434	12816.366437501281	12862.023450673412	12988.858379885556	12959.304038925366	12747.514226160183	12854.19645846743	12849.19245721611	12846.082770225974	12831.210200964799	12890.970992508948	12718.389430886635	12967.639707196555	12739.53474570485	12861.35752466548	13014.81663597884	12979.607756238755	12931.936863217614	12874.094294530636	12857.792106150608
EL19_5715	15064.32	13994.652460139796	89.8636135943065	13868.692628111805	14081.680475562533	13947.580163794395	14005.424713923117	13958.701273465233	13914.59840709615	13944.250126446877	14060.616522965724	13884.737692261164	13939.99855655377	14041.092570812714	14101.576153031154	13977.834675416874	13842.179670904927	14028.258932489709	13981.861220799796	13966.225322814007	14219.029301519968	13810.656092524796	13941.511685748459	13975.66514844308	14093.112355678884	14056.04504275498	14146.27034504852	14006.671737353005	14037.06428426651	14093.924173212838	13999.27626772375	13973.737235315533	14027.691168442512	14190.949312867075	14052.013033840856	14041.886097273255	13867.042948150432	13903.538616885955	13906.926940444278	13859.67652993755	13980.308576593945	13990.314276927487	14007.947424285096	13892.463538371612	13912.380327498953	14053.04801086658	14047.850832800495	14033.881027162492	13727.710613847737	14047.336493209843	13988.004603575597	14113.371164981509	13874.965195792	14042.763339680161	14069.785964976698	14043.115477641231	14054.541014885874	13960.387441473802	14108.49903560839	13971.600937050616	13974.378024304642	14031.324147281302	13759.8379271299	14045.14802915313	14130.370502215439	13926.106368507859	14038.769075479368	14112.757983053498	14033.99974345653	14046.633161003456	14101.75475269509	13935.854908574902	13917.288967193514	13850.127748764722	13940.976613501509	14058.813356729554	14106.23581051783	14083.966867980296	14030.16769158735	14042.191326982882	13945.297726191087	13954.040629076037	13916.94048636662	13943.41221905968	13853.89680633158	14082.77357489608	14006.896303074387	14023.878909290484	14051.739274925481	13909.74907662744	13978.092592478499	14066.068334058069	14029.626163649516	13999.045411835566	13964.792429813808	13896.780854753742	14163.449650337712	13992.95541632735	13938.789299479888	13915.925765883398	13950.43031584022	14147.20237578282	13898.486670674747
EL19_6527	13713.625	12971.501555083547	73.29825850345011	13028.443694581783	12850.15800600381	12919.058276653968	13063.771381204915	12926.797544749468	12878.767368861862	12954.419579260388	12989.088345921953	12860.85004527094	12938.82380425656	12957.537254272615	12947.443912026853	12866.424408894696	13012.66119681207	12920.129264457273	12928.835522832507	12902.654896289816	12884.553170254228	12944.165806918387	13000.909775623997	12918.935622788527	12898.531912510638	12898.981605207875	12942.137545384125	12829.26625355456	13065.941317025114	12992.627212567197	12919.832436030036	13088.0673421685	13041.745351497488	12964.315923593871	13006.42170538451	12958.962279951958	12907.362880847362	12966.626287371415	12880.500778010537	12983.050411776887	12850.203675580355	12879.321353180834	13017.635012926057	12989.705784958936	13040.678779128773	12986.999376837895	13008.757771016702	12977.657304376242	12959.489238815047	12937.454751680878	12903.220792676073	12944.392812623639	12966.723357866884	12982.826720818764	13237.746206761203	12900.853902932566	13014.16375700453	12954.425954942568	13059.782572643608	12993.913323664543	13031.30308218932	13166.648403089932	12976.228440413819	13078.86348781593	12874.271693047114	13124.05798142469	12845.506886839094	12930.843042894761	13030.184111840015	12889.706023313267	12923.632357891085	12945.844737183284	12995.16325503451	13071.03601304838	12960.729278847015	13020.650253463184	12915.702554544903	12895.042722018321	13037.1605092217	12981.105615045244	13085.203937601813	12989.976197225105	13058.875825952848	13006.147601440569	12984.229390260602	13096.28255470344	12908.734230423459	13015.464226273269	13020.945133607464	12940.405132862692	12884.936034295119	12966.296131177298	12946.741095175375	13013.119968307179	13025.994949346643	12927.643629481987	12902.922217982323	12925.469700526008	12983.364647059656	12959.351634453595	13043.825765205687	13126.925196824717	12998.867287747487
EL19_5847	17317.575	12707.765543137904	39.47837577790557	12689.938605134308	12713.285896721742	12727.409552576386	12764.288810115851	12685.039223805985	12741.573975230784	12746.944702936595	12720.487972253792	12723.586911673212	12753.942578939997	12720.912545386936	12680.56825182521	12709.69423436759	12698.28831629025	12653.495780712708	12683.811441220965	12728.841476753494	12693.523198352146	12744.315420550573	12655.578488794074	12706.543557932004	12729.705878578077	12713.468931207723	12826.735237354364	12712.421407748876	12659.029628998233	12766.545963932596	12763.388268509472	12732.772641787098	12740.745972686784	12800.304920129769	12707.966673341543	12708.064597765167	12603.135409847215	12735.286147921764	12707.455262451747	12719.515727716162	12717.76447092737	12656.032126544846	12719.915121671218	12783.774005470521	12681.856789164865	12690.397408116545	12699.08715134955	12703.279261444975	12698.661075519403	12745.220026954652	12643.514568365465	12681.670230782911	12672.644411530213	12649.654664293306	12723.702818442272	12705.716730640945	12709.44020381667	12680.581416582	12685.567421093947	12682.281690653987	12637.33214897151	12629.239741301422	12733.675201868262	12710.923053244042	12734.227354705503	12741.892927853643	12695.333364507267	12717.747412275254	12730.46494754023	12663.238435230289	12706.605612455853	12630.16962818401	12702.84825530968	12696.196461037263	12765.689349359582	12784.24222583256	12740.841983735412	12699.750150514457	12728.515560961883	12616.160307370943	12742.040993991577	12780.496232836418	12738.325980930194	12670.647974962743	12700.605578272143	12689.30030943313	12725.19862735755	12724.0605351018	12646.15396659399	12716.337621507664	12701.612991872598	12714.398202366858	12692.81400646339	12731.136394276904	12722.102161773864	12649.76849376641	12714.998139977635	12649.434320044838	12668.42896576417	12698.685852983328	12741.291415962613	12714.310744786992	12679.935475587688
EL19_6786	16503.315	13194.669605506735	52.06265730398558	13276.321491885928	13246.07906144772	13221.72880944486	13171.82781855015	13136.678459173621	13254.31680581901	13193.31438143422	13262.385870162327	13242.459551799946	13160.864644641382	13213.944618431084	13223.164600301408	13130.8716602564	13160.39105516136	13250.917624753807	13084.476719225788	13157.041549758735	13190.291291023568	13156.87960603315	13269.198214845172	13231.349663915084	13279.966541808966	13206.465172621452	13302.643026574677	13189.920585889186	13206.885775932711	13235.490135134141	13196.478835805186	13260.913611240452	13258.902958482457	13225.066182986604	13276.306637744667	13208.839669423402	13127.21399918435	13189.318352954926	13249.34705925767	13171.042793220045	13193.971923828494	13187.313672476512	13173.97136724935	13187.828608368283	13237.124570538912	13191.067558585579	13168.384020117166	13245.912525012849	13144.110888958607	13273.806423768561	13201.026521626954	13190.01460328668	13209.009503391333	13167.710641641472	13161.83975838906	13215.363549345575	13305.407624052375	13139.837706276465	13154.274899409776	13276.432016742112	13130.169569257516	13117.685267978242	13163.447188524555	13180.246875975688	13260.767352235644	13263.038370811644	13219.492994571758	13166.024661026428	13189.277385453654	13201.170098977049	13201.66264527974	13104.323435710727	13207.47653802362	13207.263927010974	13152.54187242756	13142.594059980249	13239.048898227287	13172.096944675059	13119.445870403502	13162.631795043084	13209.316905054504	13153.119444606344	13202.224768563194	13185.952302533717	13185.670564047487	13277.869602888137	13153.804073927839	13070.97892474196	13177.325565558996	13177.419490191227	13181.018153822453	13189.286390152469	13141.04588884271	13164.57101263358	13220.275291682636	13240.91934260359	13186.148131785596	12997.63117393159	13154.026433508017	13151.516994130205	13189.90335634376	13155.021348954824	13257.796419183029
EL19_5460	11399.625	13633.335413365941	79.35204473547407	13603.318141696682	13582.810997141944	13674.569398425438	13638.81827753704	13550.925982431865	13789.57085368812	13622.739692875639	13757.4950109983	13760.818610747294	13762.510387465112	13722.809334620104	13533.722587222705	13438.469802626467	13678.63009355273	13666.409307040407	13712.47744763746	13694.352680477576	13638.657547364108	13538.650905052988	13482.069605888099	13666.846714045321	13672.11625993308	13503.452497471879	13652.454214855503	13707.072312589007	13568.489563682295	13575.247277455326	13699.919959973968	13671.38921676942	13655.681504966207	13746.536762098769	13574.125177754353	13702.580597856284	13553.553096331174	13602.534086065927	13628.517247655329	13576.70649028341	13692.058717410515	13562.26398203604	13645.423579261524	13589.712701692848	13674.385038246652	13691.225712907684	13662.38851999979	13634.195788223464	13672.38387421193	13625.539743625935	13751.422917976251	13727.702347833565	13591.870939174369	13415.39289939368	13629.272863045388	13574.734339125267	13571.20217231036	13628.158441260952	13664.871148522152	13755.704504226764	13660.849709944714	13685.08253030992	13695.986431233945	13640.37959459281	13595.79363105814	13775.959241523144	13698.224283688225	13615.1167724211	13622.117812074994	13690.805021666767	13576.551079422097	13738.69041598386	13704.146043965768	13563.684073674756	13691.404168707362	13519.90650855691	13707.983128969152	13642.70119797978	13520.765468320064	13699.871229832188	13697.966144924576	13501.521262015893	13692.164418803282	13587.978984300244	13679.320447403017	13680.827652443708	13532.882419994154	13650.06481564633	13472.127708787068	13668.290377101695	13529.285001080962	13511.416580750985	13678.317165156024	13505.921890346943	13518.215191586738	13628.212248253314	13605.652802889848	13593.090532355794	13674.40583146001	13613.412517120481	13553.958321096796	13592.563883106102	13752.9669212822
EL19_6652	10903.8	14890.013095060449	72.27024186025304	14721.066374248032	14879.834419035546	14973.063155996508	14756.884750711015	14819.01460266021	14818.782869633178	14947.059729799363	14861.884926808892	14823.79750972905	15005.16300699929	14839.112349907513	14867.72052777525	14890.506495585347	14862.339547895714	14900.506680812581	14912.088227360538	14893.001941971812	14984.526991825442	14857.7664827784	14694.678292702572	14964.567147070153	14852.831365418435	15003.131914721804	14872.837360022357	14959.534032511046	14927.646825840793	14824.502992072974	14917.918424037029	14755.963932910003	14911.13923097582	14957.112574834191	14908.371291159912	14953.812883217704	14901.259168374907	14870.413177603848	14920.74763969667	14938.853541351555	14863.044370230826	14826.856511369802	14922.615141175425	14914.102922644477	14880.033616135952	14853.466683545186	14805.83536167609	14845.641787118235	14918.65117244217	15018.31529835445	14953.705990946017	14888.253511056471	14808.569091146897	14936.439501853789	14792.860638748007	14901.778823894749	14907.234806187176	15018.838467126438	15029.751603973615	14959.11702490511	15098.493527513252	14977.036640299959	14838.806305044638	14878.012211641962	15013.590737268929	14870.361303737674	14860.550571667838	14887.796864548096	14875.332092270977	14844.263367458578	14949.325933996071	14907.04526424918	14921.434662971045	14905.69780607038	14908.018498320822	14752.674660452536	14936.485980082687	14931.446862053192	14882.616959404235	14890.813580964921	14845.814656825676	14851.641791599237	15012.558536009861	14886.806790430228	14917.805564944772	14943.764000396106	14940.859015125332	14822.559064421908	14718.991587497192	14819.268325550644	14924.537616390158	14830.102118183104	14804.9839559585	14977.062147101526	14890.670139562239	14868.062045094408	14929.538340907558	14977.293551689572	14804.24749474134	14853.487408785377	14846.251667406006	14823.227637785223	14787.417509035684
EL19_5486	13325.7	14259.45272378408	90.22848716643249	14160.844635696609	14382.498944663732	14216.569764763008	14090.284851834815	14289.132101817338	14187.291784563531	14302.167874196928	14218.986234788752	14295.420541353797	14245.143736254131	14183.02323015028	14164.500008117797	14213.576640360521	14262.188581823479	14232.525260344257	14492.245720539042	14394.722556568964	14274.852975721642	14400.90786474571	14311.750781421357	14112.825285984834	14335.82683138175	14302.35349553506	14217.58419307044	14377.318044666024	14237.400754813447	14143.17222583699	14246.64494050285	14300.99145715417	14161.082280487879	14091.852258965195	14127.449103829487	14220.532309803	14235.113352614566	14251.010824756671	14119.416875964214	14255.961274465983	14212.985727794707	14177.007917921546	14330.383975899436	14165.239632138984	14196.158823884867	14171.421398330736	14209.269029887471	14334.09252435675	14182.823329416098	14395.016794115232	14131.19137959462	14216.238945726518	14359.448443982172	14438.359207525582	14265.11673426482	14284.51550056173	14231.270792279576	14266.854487265247	14326.167221170235	14266.578444267288	14363.129347077178	14355.391821933292	14222.683233476637	14152.234378808987	14419.417407103043	14262.237029792032	14327.438775049142	14274.318090103545	14325.933974035273	14271.056364787391	14200.35100356478	14232.066042167438	14290.105978251124	14290.970147842067	14174.300230474975	14258.57565293836	14069.880176679417	14384.875313292758	14097.881969100788	14271.327836914701	14290.960586428302	14072.253371287747	14422.108136022116	14242.144459503339	14314.55410730492	14361.234964415376	14089.580019432717	14306.09263759514	14178.653218737061	14332.662630624523	14245.368254011284	14305.943855220481	14264.881248887681	14303.55747795855	14373.832187514	14309.85566785545	14200.588847271818	14392.942983630935	14332.784220112246	14360.733094063407	14320.345147962586	14145.353342686574	14319.357236546828
EL19_6756	11478.06	14432.251558570382	104.53444654673265	14419.75800925653	14295.880256699287	14436.963916644727	14442.974879965444	14446.656216119445	14306.281913841813	14369.956086681046	14464.896593108477	14459.86420048518	14434.81202718373	14405.37250121201	14516.094698005538	14615.475871893485	14498.650181273986	14472.05944761169	14377.65840297699	14231.94600644648	14271.813481645295	14284.023549208869	14437.342240942427	14495.672572341506	14351.489314448254	14501.461641906246	14362.724277027828	14454.068210145062	14494.466014398487	14251.75731159971	14438.720591946503	14660.722917181796	14536.73238066672	14378.534839714215	14420.671676632357	14459.82614437075	14525.890527772168	14469.00930034935	14709.572454959996	14401.204417246723	14373.965526122181	14437.988921206299	14564.051803754908	14556.163777666994	14510.361703853134	14317.458091466628	14474.472426214415	14625.087850429276	14310.219079564458	14368.553715870594	14449.571337770958	14579.158322568956	14299.212470128945	14375.778768732462	14274.378143947108	14422.781314279797	14350.976484781037	14421.265865672827	14656.9287879976	14371.061337910334	14439.116547238422	14542.7984270398	14394.015649193148	14402.427126203713	14477.919744096514	14385.150189917214	14416.071382884134	14556.631489966874	14717.084343133902	14427.097673939033	14519.434988800964	14471.113629512338	14444.571104863986	14471.993381766777	14516.651979410131	14506.696436626537	14330.23576296169	14469.921048660477	14180.949150154167	14399.410707707453	14343.54901376928	14344.991302267546	14511.98935400127	14440.040181892442	14526.691336638109	14401.771426477988	14496.415116208063	14630.437082901391	14399.865569985537	14405.537627931491	14567.760638622814	14413.684231749035	14469.948427781432	14380.043639875537	14346.393514061898	14229.088395298393	14456.853226626677	14338.04897705755	14232.982828489186	14311.774627565947	14404.887212424544	14342.900841993249	14319.76971549262
