ID	Class	Min_RGB_9_2_19_R	Min_RGB_9_2_19_G	Min_RGB_9_2_19_B	1stQu_RGB_9_2_19_R	1stQu_RGB_9_2_19_G	1stQu_RGB_9_2_19_B	Median_RGB_9_2_19_R	Median_RGB_9_2_19_G	Median_RGB_9_2_19_B	Mean_RGB_9_2_19_R	Mean_RGB_9_2_19_G	Mean_RGB_9_2_19_B	3rdQu_RGB_9_2_19_R	3rdQu_RGB_9_2_19_G	3rdQu_RGB_9_2_19_B	Max_RGB_9_2_19_R	Max_RGB_9_2_19_G	Max_RGB_9_2_19_B	sd_RGB_9_2_19_R	sd_RGB_9_2_19_G	sd_RGB_9_2_19_B
EL19_6166	13339.095	37	40	18	82.75	95.75	61.0	110.5	123.0	85.5	112.028571428571	126.257142857143	87.3642857142857	138.0	152.25	107.25	214	241	193	38.165098157465295	42.502369198216	36.394957891413796
EL19_5482	18144.32	46	52	44	85.0	96.0	82.5	103.0	122.0	100.0	106.611510791367	122.690647482014	104.136690647482	122.0	142.0	118.0	217	230	213	31.9203062876607	35.2555574652625	30.9925660649077
EL19_6443	17069.085	30	39	14	70.0	89.0	50.0	85.0	114.0	66.0	91.52517985611509	113.287769784173	71.0215827338129	114.0	139.0	92.0	191	218	159	33.124344332641805	37.808488542385	29.9062466515133
EL19_5213	13914.3	58	49	33	106.75	113.0	71.75	146.0	154.5	107.0	143.892857142857	151.542857142857	104.55	177.0	185.5	132.25	247	250	197	42.8271910582083	46.439621422026796	38.6033742514449
EL19_6200	13644.96	61	64	44	97.75	102.75	75.0	124.5	128.5	95.0	131.364285714286	136.292857142857	102.785714285714	155.0	168.25	123.0	244	254	208	41.3168509031227	45.7966252453643	37.1812178380131
EL19_5414	10660.21	40	42	36	68.25	73.75	60.5	96.5	107.0	84.0	103.607142857143	117.142857142857	93.5	134.75	154.25	119.25	203	230	195	42.8934930633271	51.355380715837896	39.3949746639972
EL19_6372	8810.1	38	36	26	89.75	96.0	64.75	129.5	143.5	98.5	128.821428571429	137.22142857142902	100.378571428571	169.0	174.5	136.0	224	243	190	46.642721001298106	50.5634536682905	41.5493929618527
EL19_5844	11059.5	0	0	0	100.0	113.0	70.0	129.0	148.0	90.0	133.10399999999998	148.832	98.39200000000001	168.0	186.0	131.0	226	250	192	42.333130471108205	51.5236769876004	38.720440546680706
EL19_6109	9280.83	0	0	0	70.5	80.5	69.0	97.0	111.0	88.0	98.40157480314959	115.46456692913401	92.40157480314959	123.5	146.5	114.5	184	206	175	36.2982049148439	44.193800340109206	34.2713865200731
EL19_5333	16246.125	31	38	23	81.0	94.5	58.75	131.5	152.5	104.5	132.01587301587298	149.404761904762	108.20634920634899	181.75	203.75	154.75	227	246	205	55.574812154714	61.6973488664048	51.898411144899995
