ID	Class	Min_RGB_10_7_19_R	Min_RGB_10_7_19_G	Min_RGB_10_7_19_B	1stQu_RGB_10_7_19_R	1stQu_RGB_10_7_19_G	1stQu_RGB_10_7_19_B	Median_RGB_10_7_19_R	Median_RGB_10_7_19_G	Median_RGB_10_7_19_B	Mean_RGB_10_7_19_R	Mean_RGB_10_7_19_G	Mean_RGB_10_7_19_B	3rdQu_RGB_10_7_19_R	3rdQu_RGB_10_7_19_G	3rdQu_RGB_10_7_19_B	Max_RGB_10_7_19_R	Max_RGB_10_7_19_G	Max_RGB_10_7_19_B	sd_RGB_10_7_19_R	sd_RGB_10_7_19_G	sd_RGB_10_7_19_B
EL19_6186	8919.82	14	8	10	48.75	41.75	40.75	70.0	62.5	60.5	78.6928571428571	71.1428571428571	67.5214285714286	100.5	91.25	86.0	189	177	160	39.330164239628296	37.561952935447394	34.2524415675757
EL19_5308	8160.44	43	35	37	76.75	70.0	70.0	103.5	95.5	91.5	109.785714285714	101.29365079365101	96.38888888888891	136.0	126.5	116.0	233	237	228	40.9478902299705	41.0671776406059	36.906578757120705
EL19_6830	7522.19	13	8	8	39.25	36.25	37.0	68.0	64.0	60.5	76.4538461538462	70.9923076923077	66.74615384615379	110.25	103.0	94.5	207	203	187	42.5714377332246	40.7736227537207	35.7819216270589
EL19_5121	9607.75	28	25	30	59.0	54.0	56.0	75.5	69.0	69.0	80.5396825396825	74.4523809523809	74.8333333333333	96.0	89.75	90.0	233	234	237	31.169639277643398	29.704573962366702	27.899749102814496
EL19_6448	9813.15	0	0	0	48.0	40.5	41.0	83.0	76.0	72.0	85.42446043165471	79.09352517985609	77.1942446043166	116.0	108.0	105.5	202	195	177	46.287691796464	44.9398780475908	41.6433925196835
EL19_5815	9041.0	0	0	0	45.0	41.0	42.5	67.0	60.5	60.5	81.6071428571429	75.45	72.16428571428571	111.5	100.25	94.5	251	253	243	53.199326066561	51.5367194652261	46.7973759816371
EL19_6771	10347.75	17	16	18	48.75	43.75	45.0	77.0	69.0	65.0	92.9142857142857	86.98571428571431	79.9357142857143	126.25	120.75	109.25	227	236	210	55.5941725783016	54.783023379193494	47.0816237066335
EL19_5108	14914.4	26	20	21	53.25	45.25	42.0	80.0	70.0	64.0	103.198412698413	92.59523809523809	83.9523809523809	140.25	125.0	110.5	251	250	222	62.480079365029	61.6823058675894	54.866070702080705
EL19_6763	12554.46	20	18	17	47.5	45.0	42.0	75.5	71.0	65.0	92.97857142857141	87.3642857142857	79.53571428571429	121.75	113.0	97.5	250	252	239	56.9565614940463	55.5754993264605	50.06677709370629
EL19_5195	14235.45	16	11	15	53.75	47.75	48.75	83.5	76.5	74.5	89.57857142857141	81.85	78.99285714285709	114.5	105.0	103.0	211	203	193	45.00584580049439	43.5164609556053	39.954559878534
EL19_6125	13464.63	0	0	0	26.0	25.0	26.0	58.0	54.0	50.0	75.33587786259541	70.4274809160305	68.04580152671761	110.5	103.0	98.5	234	226	219	56.2705840200206	54.828127331528705	50.795799734808504
EL19_5856	11832.8	29	24	29	66.25	58.25	58.25	97.5	90.5	89.0	103.722222222222	96.4761904761905	93.93650793650791	142.25	134.75	130.75	216	213	201	46.0025458232718	45.632219194023705	42.619009098147004
EL19_6829	8267.7	21	13	14	66.0	58.0	56.0	126.0	113.5	110.0	115.60769230769199	106.261538461538	102.207692307692	154.75	140.75	137.5	245	239	229	55.1573501330787	54.1580451833327	50.3595900744112
EL19_5279	13997.12	0	0	0	94.0	84.75	80.75	123.0	115.0	108.5	122.85	114.485714285714	108.35	151.25	142.75	130.0	228	219	201	42.304127560240396	41.9779808183629	38.689303821803605
EL19_6264	15534.05	15	9	10	38.75	34.0	34.0	67.5	63.5	59.5	88.7857142857143	80.67142857142859	74.08571428571429	131.75	122.5	108.25	244	237	216	59.113083399384	55.8152712216077	48.8249679190051
EL19_5129	7471.875	40	41	44	80.25	76.25	74.25	106.0	100.5	95.5	105.61111111111099	100.984126984127	98.2301587301587	127.5	121.5	117.5	239	234	238	36.660817715315	35.1294711891845	34.459056910696304
EL19_6170	13828.405	30	28	34	77.0	71.75	78.0	104.0	98.5	100.5	107.778571428571	101.892857142857	104.385714285714	139.5	133.25	133.0	222	219	208	41.368508485892704	40.0486568144465	37.3414317918194
EL19_5220	10498.125	38	29	23	92.75	81.25	75.0	133.0	122.5	110.5	131.321428571429	120.942857142857	111.485714285714	173.25	164.25	153.0	248	246	229	53.036334478571604	52.8528255785263	49.363937804851396
EL19_6107	10359.25	0	0	0	44.0	39.5	40.5	90.0	83.0	80.0	94.007874015748	87.85039370078741	85.6929133858268	135.5	129.0	124.5	236	228	215	55.285621435485496	54.0395326692747	50.260197861368106
EL19_5733	12044.0	11	7	8	55.5	48.25	49.75	78.0	71.5	72.0	84.46428571428571	78.38571428571429	77.5714285714286	113.25	107.25	105.0	184	168	163	41.81070922575871	40.3000590381569	37.9361718500318
EL19_6658	11928.8	0	0	0	33.0	29.75	32.0	62.0	56.0	56.5	67.1323529411765	61.44117647058821	62.19117647058821	90.0	80.25	80.0	202	193	191	41.7450478453175	40.031980679504	37.4938048622717
EL19_5456	7408.065	21	12	12	80.5	72.0	69.0	119.0	110.0	101.0	116.91603053435101	106.923664122137	101.36641221374	152.5	141.5	132.5	227	225	218	47.1596369412428	46.6079587658276	43.3171144196397
