ZONE_CODE,id,BLUE_7_2_19,GREEN_7_2_19,NIR_7_2_19,RED_7_2_19,REDEDGE_7_2_19,BLUE_7_15_19,GREEN_7_15_19,NIR_7_15_19,RED_7_15_19,REDEDGE_7_15_19,BLUE_7_28_19,GREEN_7_28_19,NIR_7_28_19,RED_7_28_19,REDEDGE_7_28_19,BLUE_8_12_19,GREEN_8_12_19,NIR_8_12_19,RED_8_12_19,REDEDGE_8_12_19,BLUE_9_2_19,GREEN_9_2_19,NIR_9_2_19,RED_9_2_19,REDEDGE_9_2_19,BLUE_9_11_19,GREEN_9_11_19,NIR_9_11_19,RED_9_11_19,REDEDGE_9_11_19,COUNT_7_2_19,AREA_7_2_19,COUNT_7_15_19,AREA_7_15_19,COUNT_7_28_19,AREA_7_28_19,COUNT_8_12_19,AREA_8_12_19,COUNT_9_2_19,AREA_9_2_19,COUNT_9_11_19,AREA_9_11_19
1316,EL19_6585-33-4,0.054715282,0.088632662,0.304715294,0.099006105,0.16843409,0.034349577,0.071387471,0.386707824,0.052094267,0.138973161,0.025729616,0.054785979,0.413565013,0.034378573,0.11381056,0.025290447,0.053748215,0.365770577,0.037962519,0.11003482,0.034879974,0.079120611,0.419660379,0.061843292,0.165067448,0.04240832,0.086602305,0.330351664,0.084243726,0.167058756,860,17.5369824,1557,31.04259408,1655,33.89518133,1737,34.56759389,1785,33.62014942,1457,29.57375021
1317,EL19_6584-33-5,0.053287442,0.09415236,0.296466237,0.096235082,0.177194571,0.038954832,0.089561092,0.387467809,0.059021352,0.167832698,0.028597601,0.068553766,0.406788452,0.040517286,0.139313071,0.029154886,0.067578385,0.342639748,0.047808661,0.13250424,0.038508792,0.085441204,0.372312937,0.074793903,0.17708279,0.037578563,0.074455011,0.273220686,0.077323738,0.143624182,809,16.49699856,1254,25.00154976,1595,32.666353,1700,33.83126633,1740,32.77258262,1009,20.48038021
1318,EL19_6583-33-6,0.051563874,0.083758542,0.287530388,0.092006468,0.159024243,0.034399821,0.071441056,0.375774548,0.053267398,0.137576942,0.024943478,0.058063016,0.425522365,0.033950702,0.121698598,0.021331051,0.050619198,0.362952214,0.029972558,0.105522995,0.035140893,0.089911802,0.514098462,0.057679798,0.194989838,0.036149684,0.086144335,0.38809455,0.061922157,0.173052268,915,18.6585336,1366,27.23454304,1666,34.12046652,1731,34.44818942,1797,33.84616723,1680,34.10013751
1319,EL19_6582-33-7,0.054049818,0.087579726,0.289789077,0.098500262,0.165398209,0.031531946,0.064358371,0.34141455,0.050585616,0.125856263,0.024914377,0.056526809,0.407040293,0.03584486,0.117343817,0.021282212,0.04495633,0.323796737,0.034042616,0.094924321,0.029937125,0.061424233,0.392931436,0.056467976,0.141999359,0.031884338,0.058380931,0.284114794,0.062829787,0.125039268,884,18.02638656,1500,29.90616,1626,33.30124763,1681,33.45315218,1808,34.05335022,1651,33.51150419
1320,EL19_6581-33-8,0.04986328,0.082678193,0.282077083,0.0888736,0.155806054,0.029969005,0.067240503,0.358621789,0.046565273,0.131465271,0.01864914,0.048679424,0.405109574,0.025503988,0.104186483,0.019256905,0.049253455,0.365696291,0.027439642,0.101494236,0.027452331,0.071463813,0.451404333,0.055069787,0.174728033,0.032743889,0.073220153,0.342892155,0.071842863,0.162877177,1044,21.28908096,1615,32.1989656,1666,34.12046652,1732,34.46809017,1819,34.26053321,1647,33.43031338
1321,EL19_6580-33-9,0.049713614,0.089380607,0.280757527,0.088707684,0.167618143,0.036487658,0.080107768,0.366851548,0.05613304,0.154161268,0.025665366,0.065200776,0.414037098,0.036062469,0.136434551,0.026107445,0.065347093,0.342732211,0.042967277,0.13184806,0.038924273,0.093661935,0.403716362,0.085384098,0.205033638,0.041957476,0.088233063,0.297130105,0.085961647,0.165783449,901,18.37304784,1287,25.65948528,1646,33.71085708,1727,34.36858644,1766,33.26228788,1005,20.3991894
1322,EL19_6579-33-10,0.054268182,0.088848379,0.283013803,0.101035453,0.164149255,0.030696686,0.065891416,0.328720727,0.052524267,0.128191659,0.021093675,0.052130145,0.376305419,0.034315288,0.110523479,0.019976875,0.050984976,0.336109748,0.032885084,0.106282394,0.033231889,0.084076272,0.42622752,0.063903452,0.176531202,0.034206833,0.078327168,0.323967825,0.062089915,0.148550674,596,12.15353664,921,18.36238224,1476,30.22917682,1681,33.45315218,1835,34.5618903,1659,33.67388579
1323,EL19_6578-33-11,0.049546117,0.084399466,0.289576026,0.088910806,0.157450302,0.02942371,0.065742889,0.34443504,0.046983092,0.128178406,0.016355303,0.046489449,0.406831725,0.023172194,0.103184886,0.020373392,0.057034064,0.398209352,0.028617525,0.115971894,0.028168666,0.078493738,0.487075416,0.044429395,0.167703159,0.031981434,0.083447199,0.410371422,0.048167357,0.159991744,1002,20.43262368,1531,30.52422064,1650,33.79277897,1731,34.44818942,1785,33.62014942,1666,33.8159697
1324,EL19_6577-33-12,0.049745115,0.086355805,0.29860394,0.089326509,0.162428268,0.035205371,0.070453293,0.350350811,0.056575107,0.13432632,0.02347141,0.054972295,0.401251289,0.033576958,0.115986345,0.028252637,0.064229067,0.370453774,0.046841313,0.127609794,0.034922388,0.074033114,0.369941341,0.083097058,0.163856523,0.036707931,0.074667536,0.303435326,0.07939168,0.147865396,1081,22.04357904,1473,29.36784912,1657,33.93614227,1699,33.81136559,1701,32.03802474,477,9.682003329
1325,EL19_6576-33-13,0.057689299,0.092652642,0.292933486,0.106204723,0.172992928,0.032950143,0.064933149,0.312588062,0.055926268,0.12503896,0.020462782,0.047520598,0.375003158,0.030939294,0.102978771,0.018351973,0.045805678,0.368455446,0.029882731,0.096563881,0.027144035,0.069226246,0.481155616,0.050394422,0.15787926,0.029487037,0.068207256,0.371665691,0.053800934,0.141884276,576,11.74569984,972,19.37919168,1621,33.19884527,1732,34.46809017,1795,33.80849759,1672,33.9377559
1326,EL19_6575-33-14,0.055665114,0.090110657,0.286534546,0.101781007,0.168022772,0.034779548,0.070849897,0.326057094,0.058168909,0.135052749,0.023079953,0.056511624,0.394580859,0.033648705,0.120051418,0.028680463,0.065950812,0.373250517,0.050974832,0.131320529,0.03249245,0.07936397,0.405279551,0.076073242,0.182429288,0.033280174,0.070391286,0.296990743,0.075943144,0.149413463,756,15.41623104,1315,26.2177336,1658,33.95662274,1671,33.25414473,1789,33.69548869,1470,29.83762032
1327,EL19_6574-33-15,0.055806116,0.088900336,0.286490414,0.098632239,0.163199528,0.034964296,0.068390346,0.310872885,0.057915173,0.126383465,0.023721686,0.057975235,0.385711667,0.036057721,0.120050972,0.032065073,0.076161782,0.395190137,0.051107471,0.141151968,0.038929197,0.104817864,0.483141989,0.073602886,0.224806393,0.046813875,0.108659056,0.391620862,0.082837876,0.2085855,724,14.76369216,828,16.50820032,1634,33.46509141,1736,34.54769315,1821,34.29820285,1657,33.63329039
1328,EL19_6573-33-16,0.052677492,0.087343885,0.285327447,0.097008492,0.164375978,0.032640602,0.067092913,0.318627016,0.054778643,0.129077515,0.024609402,0.058072893,0.372095754,0.039479163,0.12214943,0.025411806,0.063329952,0.399237401,0.041663073,0.131961124,0.041678355,0.10380328,0.49663665,0.082574276,0.226000993,0.041901115,0.097145105,0.376549362,0.077008453,0.191773948,531,10.82806704,893,17.80413392,1581,32.37962639,1722,34.26908272,1734,32.65957372,1505,30.54803985
1329,EL19_6572-33-17,0.050399197,0.086568938,0.288645403,0.090546748,0.164636731,0.033133345,0.068925102,0.329721992,0.052686967,0.131717921,0.028863172,0.06279512,0.380007932,0.046316307,0.131159319,0.031055033,0.068407651,0.359110068,0.056912609,0.134601526,0.040941848,0.090554642,0.349429083,0.092720207,0.189196417,0.050110431,0.119441026,0.344908513,0.096662528,0.222613153,700,14.274288,1010,20.1368144,1406,28.79554377,1446,28.77647713,229,4.31317323,39,0.791610335
1330,EL19_6571-33-18,0.050482329,0.08975172,0.287213754,0.091682283,0.16638227,0.032702853,0.071195098,0.330523038,0.053260154,0.133290892,0.029896562,0.072751173,0.411228329,0.044492869,0.144792093,0.031744189,0.072502135,0.35257454,0.057453402,0.140442455,0.029286963,0.05973148,0.251964331,0.072255932,0.124037519,0.025360152,0.047279392,0.177677053,0.055202515,0.09050528,691,14.09076144,1026,20.45581344,1492,30.55686437,1722,34.26908272,607,11.43273428,134,2.719891921
1331,EL19_6570-33-19,0.0507192,0.085174331,0.281759236,0.093432871,0.161183886,0.031668652,0.066712107,0.340068485,0.049964395,0.127469644,0.025969344,0.060424108,0.41832663,0.040668941,0.125797642,0.021690193,0.051291218,0.355430267,0.034850043,0.10500757,0.036729861,0.091816156,0.471227409,0.071132882,0.192512244,0.034404667,0.082247027,0.346528686,0.059829747,0.158557804,538,10.97080992,949,18.92063056,1011,20.70575729,1463,29.11478979,1299,24.46642806,1229,24.94587441
1332,EL19_6569-33-20,0.052171433,0.089370321,0.283795748,0.095498806,0.167132405,0.032746373,0.072437422,0.348113352,0.051851162,0.137125695,0.026828478,0.065270412,0.426823229,0.040396922,0.135149917,0.023360254,0.058812183,0.391658467,0.037211793,0.122321305,0.035096625,0.083014288,0.387272861,0.075472657,0.174454492,0.034792367,0.07361468,0.271440241,0.069201204,0.140190872,595,12.1331448,1091,21.75174704,1277,26.15356287,1677,33.3735492,1454,27.38582479,1272,25.81867554
1333,EL19_6568-33-21,0.046811229,0.080189722,0.285362287,0.08536052,0.15498338,0.030750448,0.06920744,0.37095754,0.046433984,0.136326237,0.021030619,0.052900921,0.425544549,0.027002396,0.114123759,0.022709894,0.059901987,0.464532112,0.03353448,0.129093321,0.034462721,0.090154804,0.511864744,0.060662349,0.195765776,0.034559407,0.086254332,0.389842225,0.063027739,0.179939125,1236,25.20431424,1585,31.6008424,1647,33.73133755,1670,33.23424398,1799,33.88383686,1666,33.8159697
1334,EL19_6567-33-22,0.052282927,0.082439267,0.274748313,0.097040174,0.155798018,0.036842903,0.068689541,0.333629947,0.060886893,0.128345569,0.024780844,0.053203744,0.388835016,0.037754663,0.109841724,0.030503163,0.063835985,0.394597944,0.054362942,0.133177982,0.04446676,0.096199716,0.448369112,0.092737874,0.201919274,0.048344384,0.100224964,0.365697224,0.094709956,0.189861237,915,18.6585336,1165,23.2271176,1600,32.76875536,1718,34.18947974,1699,32.0003551,1243,25.23004222
1335,EL19_6566-33-23,0.047639563,0.081189196,0.285426363,0.086721339,0.156789924,0.038114854,0.079751802,0.364740887,0.057431027,0.15229909,0.033487442,0.074092119,0.412919873,0.04960355,0.147575866,0.034834786,0.074625878,0.360279581,0.061999337,0.146289261,0.033109718,0.063265922,0.257606277,0.077092421,0.130062467,NA,NA,NA,NA,NA,1131,23.06317104,1318,26.27754592,1338,27.40287167,1549,30.82625385,373,7.025386965,NA,NA
1336,EL19_6565-33-24,0.048651288,0.082413748,0.273933539,0.092471122,0.157308558,0.032225837,0.072201909,0.339595861,0.054213004,0.145534795,0.024733692,0.062771798,0.404392963,0.035799529,0.132554863,0.0228135,0.05667958,0.366604671,0.040053937,0.128060777,0.028807614,0.067248063,0.354066071,0.05942341,0.153991043,0.032866921,0.071704852,0.29457289,0.066592405,0.148945128,796,16.23190464,1264,25.20092416,1570,32.1543412,1692,33.67206037,1759,33.13044416,1342,27.23951461
1337,EL19_6564-33-25,0.05144461,0.083469896,0.272589517,0.096836127,0.156589332,0.033778554,0.069476064,0.345468787,0.055207005,0.13666059,0.026129273,0.05759978,0.405894211,0.04006714,0.120095032,0.023181953,0.054077223,0.376622548,0.036040264,0.115520694,0.038829435,0.09500395,0.479039819,0.074364382,0.206599523,0.038875763,0.091093902,0.370667269,0.074077683,0.182300587,711,14.49859824,1027,20.47575088,1284,26.29692618,1599,31.8212911,1528,28.77960129,1439,29.2083916
1338,EL19_6563-33-26,0.052055595,0.085078696,0.282806554,0.096884863,0.16027632,0.033077157,0.067081264,0.346658818,0.05312166,0.132479025,0.023999713,0.055482721,0.396368002,0.03618477,0.115844958,0.021645793,0.047138904,0.336858845,0.035302663,0.099054277,0.031122757,0.076200354,0.429085647,0.060808942,0.173063066,0.031825028,0.0696801,0.32907715,0.062143721,0.147928775,561,11.43982224,976,19.45894144,1397,28.61121952,1681,33.45315218,1710,32.2075381,1629,33.06495477
1339,EL19_6562-33-27,0.05432139,0.09346683,0.291843368,0.099488574,0.17343368,0.033331455,0.070808197,0.338246016,0.053725687,0.138335926,0.025246584,0.062424772,0.424245861,0.034336524,0.130500569,0.029285048,0.074910351,0.455342698,0.042887152,0.154739143,0.038700309,0.10038642,0.492639287,0.06577673,0.209701776,0.040454277,0.097619613,0.39663301,0.069000515,0.188485736,655,13.3566552,1150,22.928056,1660,33.99758369,1732,34.46809017,1812,34.12868949,1692,34.34370992
1340,EL19_6561-33-28,0.053721077,0.08541602,0.272576876,0.097186444,0.15821249,0.032681774,0.068527148,0.342701374,0.052326787,0.135191134,0.021889051,0.052973601,0.406058996,0.031582198,0.113867472,0.021515113,0.055052375,0.419617526,0.032898613,0.122443908,0.030318324,0.0771864,0.441513181,0.059312735,0.173506059,0.037229946,0.082973452,0.360351776,0.072376924,0.169671714,702,14.31507168,1381,27.53360464,1630,33.38316952,1670,33.23424398,1791,33.73315832,1663,33.7550766
1341,EL19_6560-33-29,0.051282286,0.084168863,0.265399552,0.098391462,0.15915725,0.037248353,0.074172087,0.315637581,0.062325628,0.139734395,0.032545338,0.072426591,0.386292742,0.052688385,0.145789115,0.033709206,0.073511924,0.363070821,0.064104885,0.153692173,0.047458413,0.101053047,0.404332656,0.11613251,0.220974345,NA,NA,NA,NA,NA,350,7.137144,380,7.5762272,643,13.16894356,788,15.68178698,369,6.950047694,NA,NA
1342,EL19_6559-33-30,0.052109769,0.084907598,0.274788205,0.098210308,0.159202558,0.032201209,0.065195124,0.314267655,0.051817208,0.124751468,0.026494407,0.055560402,0.347535379,0.040313169,0.11049197,0.028920776,0.061878591,0.341130094,0.048475692,0.1206877,0.036393039,0.076523459,0.345204283,0.068854455,0.152250821,0.046184693,0.095462433,0.360600358,0.082962904,0.176770398,189,3.85405776,222,4.42611168,453,9.277653861,621,12.35836258,979,18.43928643,526,10.67659067
1343,EL19_6558-33-31,0.050971468,0.086965572,0.282729275,0.093400466,0.162752862,0.036369258,0.076740586,0.350416873,0.05602016,0.142147017,0.026723285,0.062598293,0.403772025,0.038223391,0.123982624,0.029062548,0.065436444,0.353853188,0.048760583,0.127361192,0.03422053,0.077833973,0.379922676,0.065474839,0.157016919,0.037550121,0.077322891,0.300022853,0.068753162,0.145640747,783,15.96681072,1273,25.38036112,1613,33.0350015,1611,32.06010003,1797,33.84616723,1556,31.5832226
1344,EL19_6557-33-32,0.049396155,0.083869086,0.275976867,0.093078533,0.157930737,0.029948012,0.066034062,0.334611821,0.049199458,0.12832742,0.022241798,0.055124728,0.415385866,0.034150766,0.115816079,0.021225795,0.055729444,0.365221791,0.036852419,0.118423368,0.033496613,0.089582696,0.429166504,0.06960222,0.18959283,0.038761442,0.095785419,0.355640252,0.078688015,0.184050456,909,18.53618256,1363,27.17473072,1614,33.05548197,1715,34.1297775,1761,33.16811379,1314,26.67117898
1345,EL19_6556-33-33,0.049303027,0.082551273,0.277233359,0.091111618,0.154489902,0.0337117,0.070121225,0.366002649,0.050933945,0.134838037,0.029136212,0.06740824,0.48013277,0.039499864,0.136840064,0.02686413,0.058740624,0.374648373,0.046323341,0.121945043,0.030732941,0.065881937,0.362713333,0.060890753,0.141009019,0.03174421,0.060071823,0.253927748,0.062400307,0.116739381,951,19.39263984,1407,28.05197808,1658,33.95662274,1711,34.05017452,1780,33.52597533,1507,30.58863526
1346,EL19_6555-33-34,0.051408264,0.085577135,0.282570485,0.096474094,0.158766972,0.031526641,0.064940594,0.333900259,0.053090057,0.124557209,0.025522953,0.063237389,0.46606389,0.036714906,0.131847487,0.024525523,0.060700262,0.397220882,0.038716045,0.125273578,0.033106482,0.085469104,0.472211316,0.056207435,0.17748777,0.033653627,0.079547785,0.361015519,0.053127826,0.150354219,860,17.5369824,1182,23.56605408,1627,33.32172811,1727,34.36858644,1801,33.9215065,1666,33.8159697
