id,BLUE_7_2,GREEN_7_2,NIR_7_2,RED_7_2,REDEDGE_7_2,BLUE_7_15,GREEN_7_15,NIR_7_15,RED_7_15,REDEDGE_7_15,BLUE_7_28,GREEN_7_28,NIR_7_28,RED_7_28,REDEDGE_7_28,BLUE_8_12,GREEN_8_12,NIR_8_12,RED_8_12,REDEDGE_8_12,BLUE_9_2,GREEN_9_2,NIR_9_2,RED_9_2,REDEDGE_9_2,BLUE_9_11,GREEN_9_11,NIR_9_11,RED_9_11,REDEDGE_9_11,COUNT_7_2,AREA_7_2,COUNT_7_15,AREA_7_15,COUNT_7_28,AREA_7_28,COUNT_8_12,AREA_8_12,COUNT_9_2,AREA_9_2,COUNT_9_11,AREA_9_11
MIH119_fill-1-1,0.0657220324186084,0.120829204412702,0.343303182295391,0.125020897531194,0.218796744130546,0.0360682405200003,0.0773184952985265,0.362771867039417,0.061514241960287,0.146149967335598,0.0189001335866078,0.0447487565862298,0.359556827694178,0.0263259190857816,0.097487428265906,0.0270537500646939,0.063477912528537,0.452171843451071,0.0443885756620179,0.12965905812455,0.0209193007587592,0.0518401741787217,0.350796850981896,0.030765982832371,0.106624936596269,0.0322924651582152,0.0765882333842686,0.418811116577211,0.0497493136469978,0.148830223745972,1211,24.6945182399499,2799,55.8048945599062,3972,81.3484351808263,4202,83.622930069461,4410,83.0615456156844,4105,83.3220621941739
MIH119_fill-1-2,0.0593251088305975,0.110905112821618,0.351573742404765,0.109884222190152,0.205575685391651,0.0316765119486105,0.0730237182846428,0.387908553308322,0.0511546836081865,0.141291896928887,0.0179629519065792,0.0472266844942873,0.401396305939636,0.0235462353045363,0.10390115086932,0.0253157672570533,0.0643747232462325,0.474638049707676,0.0419326332851169,0.134296682052046,0.0231418313794669,0.0653857712804479,0.388249193579395,0.0367699907335223,0.13297377823172,0.0354443736708231,0.08955497664913,0.409068578013185,0.0597393843723893,0.170048281944464,2015,41.0895575999166,3981,79.3709486398666,4070,83.355521446617,4143,82.4487861203658,4439,83.6077553260823,4084,82.8958104752756
MIH119_fill-1-3,0.0585306656738823,0.107171797613949,0.346929919574051,0.108597639929237,0.19791733604414,0.0283462961505627,0.0684203147365818,0.399632673957104,0.0438289281975153,0.133398344526285,0.0160942479521565,0.0442262838953097,0.40726212263983,0.0208753431079057,0.0978697285605239,0.0240288044806533,0.0634044857829696,0.483547021791502,0.038556091116476,0.132238798691807,0.0200659409702159,0.059756163268199,0.389712889227296,0.0313017366707372,0.122829320702089,0.0313941526356811,0.0833250503064882,0.402123837786562,0.0528895444624747,0.16046026622073,2169,44.2299009599103,4065,81.0456935998638,4084,83.6422480560157,4198,83.5433270898614,4433,83.4947464204828,4080,82.8146196716759
MIH119_fill-1-4,0.0589192892238498,0.108966613246335,0.34463438787063,0.109053115300006,0.200529496305519,0.0281790087480868,0.0661013269170116,0.414274228038266,0.0423068724962202,0.12963862751718,0.0164321619759996,0.0426275585496357,0.431162084419734,0.0205177286244745,0.0940640383873782,0.0235971269016542,0.0580444111158847,0.487172339769179,0.0362877736647407,0.120816900349054,0.020475841900097,0.0583546459568203,0.419195543356173,0.0316695660339485,0.120374440720323,0.0308139055056552,0.0783217217257319,0.412669678525451,0.0493762569543084,0.150229180501957,2250,45.8816399999069,4160,82.9397503998606,4083,83.6217675839158,4209,83.7622352837605,4367,82.2516484588875,4080,82.8146196716759
MIH119_fill-1-5,0.057345528784414,0.106323766510571,0.34297632526903,0.105125123587132,0.196511799130028,0.0280319831149488,0.0658924401167516,0.416193297812125,0.0415249331318014,0.130101981218869,0.0155627568876916,0.0407375923480849,0.430017603201344,0.0191738569564769,0.0899877524021178,0.024790692936376,0.0594621862625621,0.47590816244039,0.0383633255296974,0.122050205936058,0.021249403487995,0.0613734852060592,0.436685724225124,0.0331546164774362,0.128044733800535,0.0303257253639603,0.0786434363746231,0.425809735531262,0.0475503460080081,0.150762774088556,2260,46.0855583999065,4168,83.0992499198603,4083,83.6217675839158,4195,83.4836248551616,4475,84.2858087596798,4083,82.8755127743757
MIH119_fill-1-6,0.0590025313554947,0.107654641914647,0.334121569181831,0.108720715704787,0.19712038802964,0.0287464393971751,0.0664769481711208,0.397689201584687,0.0443053801323422,0.130692958346583,0.0151178856923498,0.0403201470671458,0.421225845528666,0.0191922979413374,0.0892544940382659,0.0242512096194402,0.0578692579040786,0.453810332120808,0.0388740003873118,0.119412199295271,0.0204854905839157,0.0604269349294094,0.420671894653179,0.0324285185543612,0.128630223793068,0.0285636697265133,0.0758042913401118,0.410500417733778,0.0456963752626858,0.146095953045044,2007,40.926422879917,4146,82.660626239861,4077,83.4988847513164,4217,83.9214412429598,4381,82.5153359052865,4114,83.5047415022732
MIH119_fill-1-7,0.0565307319029936,0.102601928734545,0.330095134083804,0.103022065632516,0.18947724859431,0.0266142782541768,0.0633745790427466,0.408990202080035,0.0382921608869572,0.126814748978976,0.0150810283577453,0.0393844429087506,0.42173212902079,0.0188028699156954,0.0867628134339937,0.0241734452735561,0.0567089938458265,0.46423359457417,0.037678493077211,0.116198608663937,0.0201569843961647,0.0567673037495922,0.419355730111232,0.0316241392369794,0.122146258914656,0.0290411642524578,0.0743159215665909,0.412354597714293,0.0463361889015017,0.141839996381378,2468,50.3270611198979,4224,84.2157465598584,4049,82.925431532519,4129,82.1701756917669,4469,84.1727998540802,4105,83.3220621941739
MIH119_fill-1-8,0.0574378089422486,0.104509984467881,0.322644938035368,0.105686557419545,0.192361888101199,0.0268445258809922,0.0622187332015594,0.400402255046851,0.039575096489425,0.123824909832514,0.0153193628264844,0.0390671820991477,0.42686167554355,0.0189123618890198,0.0853609760041222,0.0220346491918003,0.0537967160981865,0.482801770361706,0.0336533549401157,0.112492186120473,0.0191260124449187,0.0526131881872824,0.424718327697165,0.0287864201408886,0.113476341488656,0.0270836258408821,0.0697794334985569,0.425762058624509,0.0410624627620705,0.133606179228541,2248,45.840856319907,4117,82.082440479862,4050,82.9459120046189,4235,84.2796546511584,4417,83.1933893388839,4120,83.6265277076727
MIH119_fill-1-9,0.0556164042413283,0.10214631150288,0.32245638664704,0.102120617090146,0.189767204880882,0.026769984836814,0.06228403300366,0.40742059827716,0.0393052286943303,0.123903838677858,0.0158360075366619,0.0409296879890754,0.445769193877579,0.0192596130937821,0.0889665464406457,0.020587948934362,0.053692223434297,0.539959028265835,0.0305223752066125,0.11602825051725,0.018956497957445,0.0496123763881809,0.450465638395601,0.0274192946738167,0.107139831244952,0.0251880878842553,0.0646159150357385,0.464147480613398,0.0370812073514969,0.125995132707747,2488,50.7348979198971,4203,83.7970603198591,4071,83.3760019187169,4131,82.2099771815668,4432,83.4759116028828,4120,83.6265277076727
MIH119_fill-1-10,0.0549974399433101,0.100005012609631,0.323032827743738,0.100743896628543,0.185914513043235,0.0254403692729708,0.0600915315063318,0.390592262224352,0.0374376553687097,0.119281760906965,0.0149959978908894,0.0391668087321188,0.432613368219166,0.0183209636794202,0.0854651885609343,0.0188714389863517,0.0495768998724598,0.529513264383669,0.0277913170722012,0.108379901238166,0.0180902204226794,0.0469434012505111,0.445367835598415,0.0258184099542147,0.100793750415154,0.0242512760429877,0.0616374409435965,0.463511352131477,0.0348822051199102,0.120417789919259,2658,54.20151071989,4145,82.6406887998611,4080,83.5603261676161,4217,83.9214412429598,4427,83.3817375148832,4121,83.6468254085726
MIH119_fill-1-11,0.0551295841540225,0.0988471239024583,0.328187794773093,0.100415026203478,0.183796247710352,0.024100985976413,0.0590396650450457,0.412537188244903,0.0341617931395877,0.119295291846465,0.014933611671486,0.0390999154500462,0.44100640875963,0.0183885072357953,0.085589866959216,0.018718765916297,0.0489748485048193,0.530920227993549,0.0277690445369188,0.10691588998377,0.0176208866253401,0.0454076327174424,0.450852019864669,0.0253388869615628,0.0973544569658318,0.0242000562349081,0.0600996358962097,0.468742144831176,0.0347775332080381,0.118445941287735,2806,57.2195030398839,4140,82.5410015998612,4080,83.5603261676161,4197,83.5234263449615,4365,82.2139788236876,4120,83.6265277076727
MIH119_fill-1-12,0.0572921932937451,0.102021976473802,0.331907016381849,0.104121441317306,0.187107522830161,0.0238001387359074,0.0569519835077411,0.405967610146513,0.0335449055818493,0.114653954004744,0.0154168616912976,0.0392834314583417,0.445198585429028,0.0188427376720653,0.0856970620031158,0.0192599767647039,0.0502982092275241,0.537903203246201,0.0278820794375469,0.109312117549595,0.0185720181846311,0.0479700785049747,0.465183856530171,0.0265050402326997,0.101627192780402,0.0248423830135185,0.0609951634529376,0.47197734077598,0.0354701991973392,0.120119766451957,2746,55.9959926398864,4233,84.3951835198581,4080,83.5603261676161,4207,83.7224337939606,4488,84.5306613884788,4122,83.6671231094726
MIH119_fill-1-13,0.0555663137019504,0.101045660859871,0.33607894670675,0.0997697690633706,0.186615336044259,0.0238951084757589,0.0572674977423158,0.412181363982915,0.0333709188405823,0.114853708945613,0.0149295506357039,0.0379743667850294,0.439158150868568,0.0180443363837413,0.0830281652519319,0.0194330330162294,0.0510995045637959,0.54505457241743,0.0284000777702897,0.111660842967884,0.0180512392233782,0.0470459333968195,0.471496306519375,0.0258536135171665,0.100513999714578,0.0242997110512671,0.0596445745543952,0.47977978009153,0.0347398508068485,0.118664681319465,2895,59.0343767998802,4137,82.4811892798613,4070,83.355521446617,4198,83.5433270898614,4388,82.647179628486,4128,83.7889093148721
MIH119_fill-1-14,0.0565743751695906,0.101878709628243,0.329511246982928,0.102087404763477,0.186946138197834,0.0260317605022282,0.0616806512096094,0.410404570761284,0.0371555861656406,0.122508970458305,0.0153175395815824,0.0393320241320585,0.43466253299128,0.0185784433921868,0.0857832959981555,0.0201351869378155,0.0530452863631495,0.533237778119953,0.0295461661244642,0.115494624322716,0.0190382133940737,0.0503176165345077,0.473908547912444,0.0271950106225646,0.107531652388131,0.0247573347246347,0.0619987704010461,0.471709937434278,0.0354997878102129,0.122733006192663,2503,51.0407755198964,4174,83.2188745598601,4046,82.8639901162193,4141,82.408984630566,4461,84.0221213132808,4080,82.8146196716759
